type,count,time
submodule,2,1.318
submodule,2,0.693
submodule,2,0.721
submodule,2,0.705
submodule,2,0.687
submodule,2,0.688
submodule,2,0.692
submodule,2,0.713
submodule,2,0.716
submodule,2,0.840
subtree,2,0.051
subtree,2,0.052
subtree,2,0.053
subtree,2,0.053
subtree,2,0.047
subtree,2,0.051
subtree,2,0.056
subtree,2,0.053
subtree,2,0.045
subtree,2,0.045
submodule,4,1.342
submodule,4,1.486
submodule,4,1.313
submodule,4,1.304
submodule,4,1.318
submodule,4,1.336
submodule,4,1.345
submodule,4,1.331
submodule,4,1.340
submodule,4,1.314
subtree,4,0.063
subtree,4,0.064
subtree,4,0.061
subtree,4,0.059
subtree,4,0.047
subtree,4,0.057
subtree,4,0.059
subtree,4,0.058
subtree,4,0.063
subtree,4,0.062
submodule,6,1.902
submodule,6,3.877
submodule,6,1.984
submodule,6,1.991
submodule,6,1.996
submodule,6,1.953
submodule,6,1.919
submodule,6,1.964
submodule,6,1.959
submodule,6,1.937
subtree,6,0.105
subtree,6,0.107
subtree,6,0.118
subtree,6,0.110
subtree,6,0.109
subtree,6,0.117
subtree,6,0.110
subtree,6,0.103
subtree,6,0.106
subtree,6,0.114
submodule,8,2.521
submodule,8,2.566
submodule,8,2.551
submodule,8,2.538
submodule,8,2.520
submodule,8,2.563
submodule,8,4.262
submodule,8,2.567
submodule,8,2.882
submodule,8,2.632
subtree,8,0.124
subtree,8,0.121
subtree,8,0.130
subtree,8,0.119
subtree,8,0.126
subtree,8,0.128
subtree,8,0.123
subtree,8,0.126
subtree,8,0.114
subtree,8,0.089
submodule,10,3.487
submodule,10,3.252
submodule,10,3.155
submodule,10,3.271
submodule,10,3.207
submodule,10,3.327
submodule,10,3.271
submodule,10,3.194
submodule,10,3.300
submodule,10,3.248
subtree,10,0.128
subtree,10,0.109
subtree,10,0.107
subtree,10,0.115
subtree,10,0.111
subtree,10,0.121
subtree,10,0.125
subtree,10,0.091
subtree,10,0.127
subtree,10,0.121
